年度學期,星期,小時,時間區間,平均功率_kW
114-2,星期一,7,07:00~08:00,44.895714285714284
114-2,星期一,8,08:00~09:00,94.76428571428572
114-2,星期一,9,09:00~10:00,154.73666666666668
114-2,星期一,10,10:00~11:00,166.48666666666668
114-2,星期一,11,11:00~12:00,175.18166666666664
114-2,星期一,12,12:00~13:00,181.02666666666667
114-2,星期一,13,13:00~14:00,138.10285714285715
114-2,星期一,14,14:00~15:00,188.465
114-2,星期一,15,15:00~16:00,195.71166666666667
114-2,星期一,16,16:00~17:00,183.89666666666665
114-2,星期一,17,17:00~18:00,178.38166666666666
114-2,星期一,18,18:00~19:00,106.25285714285714
114-2,星期一,19,19:00~20:00,79.21714285714286
114-2,星期一,20,20:00~21:00,78.42857142857143
114-2,星期一,21,21:00~22:00,75.03999999999999
114-2,星期一,22,22:00~23:00,51.941428571428574
114-2,星期一,23,23:00~24:00,46.089999999999996
114-2,星期二,0,00:00~01:00,45.47285714285714
114-2,星期二,1,01:00~02:00,43.92714285714286
114-2,星期二,2,02:00~03:00,39.50333333333334
114-2,星期二,3,03:00~04:00,39.03714285714286
114-2,星期二,4,04:00~05:00,40.5
114-2,星期二,5,05:00~06:00,42.33428571428572
114-2,星期二,6,06:00~07:00,40.401428571428575
114-2,星期二,7,07:00~08:00,46.60166666666667
114-2,星期二,8,08:00~09:00,114.81666666666668
114-2,星期二,9,09:00~10:00,136.67
114-2,星期二,10,10:00~11:00,170.48666666666665
