年度學期,星期,小時,時間區間,平均功率_kW
114-1,星期六,8,08:00~09:00,59.52357142857142
114-1,星期六,9,09:00~10:00,63.057857142857145
114-1,星期六,10,10:00~11:00,63.77071428571429
114-1,星期六,11,11:00~12:00,64.08214285714287
114-1,星期六,12,12:00~13:00,63.560769230769225
114-1,星期六,13,13:00~14:00,73.95857142857143
114-1,星期六,14,14:00~15:00,71.52307692307693
114-1,星期六,15,15:00~16:00,68.06307692307692
114-1,星期六,16,16:00~17:00,67.57846153846154
114-1,星期六,17,17:00~18:00,56.06857142857143
114-1,星期六,18,18:00~19:00,35.463076923076926
114-1,星期六,19,19:00~20:00,33.92153846153846
114-1,星期六,20,20:00~21:00,33.86769230769231
114-1,星期六,21,21:00~22:00,33.86692307692307
114-1,星期六,22,22:00~23:00,33.45538461538461
114-1,星期六,23,23:00~24:00,33.34076923076923
114-1,星期日,0,00:00~01:00,33.13538461538461
114-1,星期日,1,01:00~02:00,33.00846153846154
114-1,星期日,2,02:00~03:00,33.589999999999996
114-1,星期日,3,03:00~04:00,32.76461538461538
114-1,星期日,4,04:00~05:00,33.99076923076923
114-1,星期日,5,05:00~06:00,33.041538461538465
114-1,星期日,6,06:00~07:00,33.93076923076923
114-1,星期日,7,07:00~08:00,35.19583333333333
114-1,星期日,8,08:00~09:00,53.15285714285715
114-1,星期日,9,09:00~10:00,57.15642857142858
114-1,星期日,10,10:00~11:00,54.01846153846155
114-1,星期日,11,11:00~12:00,53.96692307692308
114-1,星期日,12,12:00~13:00,60.18076923076923
114-1,星期日,13,13:00~14:00,59.94499999999999
114-1,星期日,14,14:00~15:00,60.72071428571428
114-1,星期日,15,15:00~16:00,59.45642857142858
114-1,星期日,16,16:00~17:00,54.709999999999994
114-1,星期日,17,17:00~18:00,41.52384615384615
114-1,星期日,18,18:00~19:00,34.76384615384616
114-1,星期日,19,19:00~20:00,32.74692307692308
114-1,星期日,20,20:00~21:00,33.72
114-1,星期日,21,21:00~22:00,32.959230769230764
114-1,星期日,22,22:00~23:00,34.63384615384615
114-1,星期日,23,23:00~24:00,33.246153846153845
114-2,星期一,0,00:00~01:00,34.12444444444444
114-2,星期一,1,01:00~02:00,34.35111111111111
114-2,星期一,2,02:00~03:00,34.39875000000001
114-2,星期一,3,03:00~04:00,33.528888888888886
114-2,星期一,4,04:00~05:00,38.73777777777778
114-2,星期一,5,05:00~06:00,34.394444444444446
114-2,星期一,6,06:00~07:00,34.563750000000006
114-2,星期一,7,07:00~08:00,35.74666666666666
114-2,星期一,8,08:00~09:00,52.28666666666666
114-2,星期一,9,09:00~10:00,78.7611111111111
114-2,星期一,10,10:00~11:00,114.45
114-2,星期一,11,11:00~12:00,122.83875
114-2,星期一,12,12:00~13:00,126.72874999999999
114-2,星期一,13,13:00~14:00,113.48666666666668
114-2,星期一,14,14:00~15:00,132.99875
114-2,星期一,15,15:00~16:00,134.15375
114-2,星期一,16,16:00~17:00,131.79749999999999
114-2,星期一,17,17:00~18:00,116.49374999999999
114-2,星期一,18,18:00~19:00,85.07
114-2,星期一,19,19:00~20:00,42.46875
114-2,星期一,20,20:00~21:00,38.2125
114-2,星期一,21,21:00~22:00,37.398888888888884
114-2,星期一,22,22:00~23:00,38.60111111111111
114-2,星期一,23,23:00~24:00,38.07555555555556
114-2,星期二,0,00:00~01:00,37.66666666666666
114-2,星期二,1,01:00~02:00,36.654444444444444
114-2,星期二,2,02:00~03:00,34.7275
114-2,星期二,3,03:00~04:00,34.38333333333333
114-2,星期二,4,04:00~05:00,37.81666666666667
114-2,星期二,5,05:00~06:00,35.1925
114-2,星期二,6,06:00~07:00,35.742222222222225
114-2,星期二,7,07:00~08:00,38.315
114-2,星期二,8,08:00~09:00,60.85375
114-2,星期二,9,09:00~10:00,97.43444444444445
114-2,星期二,10,10:00~11:00,112.55444444444444
114-2,星期二,11,11:00~12:00,119.3711111111111
